timestamp	commit	strategy	status	full_return_pct	avg_outperformance	avg_trades_yr	avg_win_rate	avg_sharpe	worst_maxdd	description
2026-04-05 18:02:33	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1088.59	1.9743	19.75	0.7071	1.4249	-23.68	return=+1088.6% | avg_outperf=1.97x | trades/yr=19.8 | win=70.7% | sharpe=1.42 | maxDD=-23.7%
2026-04-05 18:05:10	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1098.72	1.9957	19.82	0.7111	1.4296	-23.68	return=+1098.7% | avg_outperf=2.00x | trades/yr=19.8 | win=71.1% | sharpe=1.43 | maxDD=-23.7%
2026-04-05 18:05:38	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1098.72	1.9957	19.82	0.7111	1.4296	-23.68	return=+1098.7% | avg_outperf=2.00x | trades/yr=19.8 | win=71.1% | sharpe=1.43 | maxDD=-23.7%
2026-04-05 18:06:07	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1097.2	1.9985	19.7	0.7093	1.4298	-23.68	return=+1097.2% | avg_outperf=2.00x | trades/yr=19.7 | win=70.9% | sharpe=1.43 | maxDD=-23.7%
2026-04-05 18:06:27	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1093.06	1.9898	19.7	0.7093	1.428	-24.06	return=+1093.1% | avg_outperf=1.99x | trades/yr=19.7 | win=70.9% | sharpe=1.43 | maxDD=-24.1%
2026-04-05 18:11:02	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1089.25	2.0121	19.72	0.7134	1.4347	-23.68	return=+1089.2% | avg_outperf=2.01x | trades/yr=19.7 | win=71.3% | sharpe=1.43 | maxDD=-23.7%
2026-04-05 18:14:57	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1046.15	1.9628	19.72	0.6965	1.399	-24.06	return=+1046.1% | avg_outperf=1.96x | trades/yr=19.7 | win=69.7% | sharpe=1.40 | maxDD=-24.1%
2026-04-05 18:15:33	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1051.51	1.9909	19.66	0.7185	1.4256	-23.68	return=+1051.5% | avg_outperf=1.99x | trades/yr=19.7 | win=71.9% | sharpe=1.43 | maxDD=-23.7%
2026-04-05 18:21:49	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	0.0	0.0	0.0	0.0	0.0	0.0	return=+0.0% | avg_outperf=0.00x | trades/yr=0.0 | win=0.0% | sharpe=0.00 | maxDD=0.0%
2026-04-05 18:22:05	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	949.51	1.9102	20.12	0.7047	1.3993	-23.68	return=+949.5% | avg_outperf=1.91x | trades/yr=20.1 | win=70.5% | sharpe=1.40 | maxDD=-23.7%
2026-04-05 18:23:49	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1090.4	2.0128	19.67	0.7124	1.435	-23.68	return=+1090.4% | avg_outperf=2.01x | trades/yr=19.7 | win=71.2% | sharpe=1.44 | maxDD=-23.7%
2026-04-05 18:24:45	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1158.61	2.1188	19.85	0.721	1.4554	-23.68	return=+1158.6% | avg_outperf=2.12x | trades/yr=19.8 | win=72.1% | sharpe=1.46 | maxDD=-23.7%
2026-04-05 18:25:38	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1112.09	2.0839	18.98	0.7303	1.4298	-23.68	return=+1112.1% | avg_outperf=2.08x | trades/yr=19.0 | win=73.0% | sharpe=1.43 | maxDD=-23.7%
2026-04-05 18:27:40	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1001.49	1.9058	19.83	0.7126	1.4113	-23.68	return=+1001.5% | avg_outperf=1.91x | trades/yr=19.8 | win=71.3% | sharpe=1.41 | maxDD=-23.7%
2026-04-05 18:29:32	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1055.35	2.0024	19.23	0.7198	1.4274	-23.68	return=+1055.4% | avg_outperf=2.00x | trades/yr=19.2 | win=72.0% | sharpe=1.43 | maxDD=-23.7%
2026-04-05 18:31:15	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1179.6	2.1648	18.36	0.7203	1.4516	-23.68	return=+1179.6% | avg_outperf=2.16x | trades/yr=18.4 | win=72.0% | sharpe=1.45 | maxDD=-23.7%
2026-04-05 18:32:28	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1120.21	2.0754	19.7	0.7189	1.4258	-24.06	return=+1120.2% | avg_outperf=2.08x | trades/yr=19.7 | win=71.9% | sharpe=1.43 | maxDD=-24.1%
2026-04-05 18:33:59	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1056.57	1.8461	19.25	0.707	1.4092	-23.68	return=+1056.6% | avg_outperf=1.85x | trades/yr=19.2 | win=70.7% | sharpe=1.41 | maxDD=-23.7%
2026-04-05 18:35:03	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	986.93	1.7983	19.95	0.7116	1.3931	-23.68	return=+986.9% | avg_outperf=1.80x | trades/yr=19.9 | win=71.2% | sharpe=1.39 | maxDD=-23.7%
2026-04-05 18:35:42	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	989.74	2.0335	18.86	0.7102	1.3763	-23.68	return=+989.7% | avg_outperf=2.03x | trades/yr=18.9 | win=71.0% | sharpe=1.38 | maxDD=-23.7%
2026-04-05 18:36:58	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1068.72	2.0061	19.17	0.7086	1.4244	-23.68	return=+1068.7% | avg_outperf=2.01x | trades/yr=19.2 | win=70.9% | sharpe=1.42 | maxDD=-23.7%
2026-04-05 18:37:42	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1089.25	2.0121	19.72	0.7134	1.4347	-23.68	return=+1089.2% | avg_outperf=2.01x | trades/yr=19.7 | win=71.3% | sharpe=1.43 | maxDD=-23.7%
2026-04-05 18:39:20	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1089.25	2.0121	19.72	0.7134	1.4347	-23.68	return=+1089.2% | avg_outperf=2.01x | trades/yr=19.7 | win=71.3% | sharpe=1.43 | maxDD=-23.7%
2026-04-05 18:41:18	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1154.25	2.1097	19.85	0.721	1.4535	-24.06	return=+1154.3% | avg_outperf=2.11x | trades/yr=19.8 | win=72.1% | sharpe=1.45 | maxDD=-24.1%
2026-04-05 18:45:51	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	850.01	1.8419	20.55	0.6897	1.3686	-19.27	return=+850.0% | avg_outperf=1.84x | trades/yr=20.6 | win=69.0% | sharpe=1.37 | maxDD=-19.3%
2026-04-05 18:46:09	4df47f0	autoresearch.experimental_strategy.ExperimentalStrategy	discard	1089.25	2.0121	19.72	0.7134	1.4347	-23.68	return=+1089.2% | avg_outperf=2.01x | trades/yr=19.7 | win=71.3% | sharpe=1.43 | maxDD=-23.7%
